"","area_name","iso3c","area_km2","year","NAME_1","mean_obs","sum","min","mean","max"
"51","Ukraine","UKR",26564.6319344462,2005,"Vinnytsya",63.4680384263105,90612,0,1.93009137964087,56
"52","Ukraine","UKR",20339.1435133018,2005,"Volyn",54.7197599383913,30384,0,0.806861938019492,56
"53","Ukraine","UKR",26729.7995788012,2005,"Zaporizhzhya",54.6070608809706,115527,0,2.52545633402558,62
"54","Ukraine","UKR",30062.8221886181,2005,"Zhytomyr",56.3996692292314,50407,0,0.916107809461498,56
"55","Ukraine","UKR",20942.668075408,2006,"Cherkasy",49.1613344785013,75655,0,2.03057061570669,51
"56","Ukraine","UKR",32463.3039667227,2006,"Chernihiv",49.3910065021231,47638,0,0.790173832271762,50
"57","Ukraine","UKR",8208.45514568994,2006,"Chernivtsi",42.8094175095919,53958,0,3.76407394489013,58
"58","Ukraine","UKR",26325.8821570477,2006,"Crimea",44.6017330942858,74483,0,1.71201673332414,60
"59","Ukraine","UKR",31772.4597989942,2006,"Dnipropetrovs'k",46.3208370918275,225731,0,4.07236153707379,61
"60","Ukraine","UKR",26586.1526327389,2006,"Donets'k",47.5671890558033,249806,0,5.40729035888999,63
"61","Ukraine","UKR",13812.6874793893,2006,"Ivano-Frankivs'k",43.8963133640553,64240,0,2.64318630678078,57
"62","Ukraine","UKR",31421.3625996478,2006,"Kharkiv",46.9754572900018,164576,0,2.92267803232108,61
"63","Ukraine","UKR",25544.4201435721,2006,"Kherson",46.442948673467,47874,0,1.10734855318854,56
"64","Ukraine","UKR",20739.81314075,2006,"Khmel'nyts'kyy",43.715202848511,56604,0,1.52686663789383,50
"65","Ukraine","UKR",28107.0336551785,2006,"Kiev",48.6465530748139,145322,0,2.84610262436349,62
"66","Ukraine","UKR",831.401991088561,2006,"Kiev City",51.2757715036113,56763,5,37.2705187130663,63
"67","Ukraine","UKR",24732.8110127423,2006,"Kirovohrad",47.1839826339976,63213,0,1.45978338683232,46
